20.09.2017 16:00:33 | Альберт | Просмотр списка задач |  (userId = 23)
20.09.2017 15:50:42 | Альберт | Снятие отметки о выполнении задачи | Название: Купить пирог,описание: купить пирог (userId = 23)
20.09.2017 15:50:40 | Альберт | Просмотр списка задач |  (userId = 23)
20.09.2017 15:50:34 | Альберт | Просмотр списка задач |  (userId = 23)
20.09.2017 15:50:31 | Альберт | Добавление новой задачи |  (userId = 23)
20.09.2017 15:50:31 | Альберт | Добавление новой задачи | Название: Купить пирог,описание: купить пирог (userId = 23)
20.09.2017 15:50:16 | Альберт | Добавление новой задачи |  (userId = 23)
20.09.2017 15:50:06 | Альберт | Отметка о выполнении задачи | Название: Съездить за грибами, описание: Съездить за грибами в ближайшие выходные (userId = 23)
20.09.2017 15:50:05 | Альберт | Просмотр списка задач |  (userId = 23)
20.09.2017 15:49:58 | Альберт | Просмотр списка задач |  (userId = 23)
20.09.2017 15:49:55 | Альберт | Добавление новой задачи |  (userId = 23)
20.09.2017 15:49:55 | Альберт | Добавление новой задачи | Название: Съездить за грибами,описание: Съездить за грибами в ближайшие выходные (userId = 23)
20.09.2017 15:49:34 | Альберт | Добавление новой задачи |  (userId = 23)
20.09.2017 15:49:32 | Альберт | Просмотр списка задач |  (userId = 23)
20.09.2017 15:49:28 | Альберт | Административная панель - главная страница |  (userId = 23)
20.09.2017 15:49:27 | Альберт | Успешная авторизация пользователя |  (userId = 23)
20.09.2017 15:47:56 | Beavis | Административная панель - главная страница |  (userId = 3)
20.09.2017 15:47:50 | Beavis | Административная панель - главная страница |  (userId = 3)
20.09.2017 15:47:49 | Beavis | Успешная авторизация пользователя |  (userId = 3)
20.09.2017 15:27:16 | Beavis | Изменение задачи. Название: Выпить кофе, описание: Выпить кофе, поужинать, почистить зубыДата добавления  16.09.2017 21:25:35 | Новые данные. Название: Выпить кофе с сахаром, описание: Выпить кофе, поужинать, почистить зубы (userId = 3)
20.09.2017 15:27:15 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 15:27:07 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 15:27:04 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 15:26:18 | Beavis | Административная панель - главная страница |  (userId = 3)
20.09.2017 15:24:46 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 15:24:44 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 15:24:23 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 15:24:16 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 15:24:09 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 15:24:06 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 15:23:28 | Butthead | Административная панель - главная страница |  (userId = 3)
20.09.2017 15:23:28 | Butthead | Изменение данных пользователяСтарое имя пользователя: ButtheadДата последнего входа 20.09.2017 15:23:19 | Новое имя пользователя: Beavis (userId = 3)
20.09.2017 15:23:24 | Butthead | Административная панель - главная страница |  (userId = 3)
20.09.2017 15:23:20 | Butthead | Административная панель - главная страница |  (userId = 3)
20.09.2017 15:23:19 | Butthead | Успешная авторизация пользователя |  (userId = 3)
20.09.2017 15:23:05 | Butthead | Просмотр списка задач |  (userId = 3)
20.09.2017 15:23:02 | Butthead | Просмотр списка задач |  (userId = 3)
20.09.2017 15:22:54 | Butthead | Просмотр списка задач |  (userId = 3)
20.09.2017 15:22:50 | Butthead | Просмотр списка задач |  (userId = 3)
20.09.2017 15:22:46 | Butthead | Просмотр списка задач |  (userId = 3)
20.09.2017 15:22:43 | Butthead | Просмотр списка задач |  (userId = 3)
20.09.2017 15:22:40 | Beavis | Административная панель - главная страница |  (userId = 3)
20.09.2017 15:22:40 | Beavis | Изменение данных пользователяСтарое имя пользователя: BeavisДата последнего входа 20.09.2017 15:22:33 | Новое имя пользователя: Butthead (userId = 3)
20.09.2017 15:22:36 | Beavis | Административная панель - главная страница |  (userId = 3)
20.09.2017 15:22:33 | Beavis | Успешная авторизация пользователя |  (userId = 3)
20.09.2017 15:22:33 | Beavis | Административная панель - главная страница |  (userId = 3)
20.09.2017 15:22:23 | Beavis | Административная панель - главная страница |  (userId = 3)
20.09.2017 15:21:56 | Butthead | Административная панель - главная страница |  (userId = 3)
20.09.2017 15:21:56 | Butthead | Изменение данных пользователяСтарое имя пользователя: ButtheadДата последнего входа 20.09.2017 14:34:05 | Новое имя пользователя: Beavis (userId = 3)
20.09.2017 15:21:52 | Butthead | Административная панель - главная страница |  (userId = 3)
20.09.2017 15:21:48 | Beavis | Административная панель - главная страница |  (userId = 3)
20.09.2017 15:21:48 | Beavis | Изменение данных пользователяСтарое имя пользователя: BeavisДата последнего входа 20.09.2017 14:34:05 | Новое имя пользователя: Butthead (userId = 3)
20.09.2017 15:21:43 | Beavis | Административная панель - главная страница |  (userId = 3)
20.09.2017 15:21:40 | Beavis | Административная панель - главная страница |  (userId = 3)
20.09.2017 15:18:58 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 15:18:46 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 15:18:43 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 15:17:47 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 15:17:34 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 15:17:00 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 15:15:29 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 15:15:23 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 15:15:19 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 15:15:17 | Beavis | Административная панель - главная страница |  (userId = 3)
20.09.2017 15:13:21 | Beavis | Административная панель - главная страница |  (userId = 3)
20.09.2017 15:13:13 | Beavis | Административная панель - главная страница |  (userId = 3)
20.09.2017 15:12:57 | Beavis | Административная панель - главная страница |  (userId = 3)
20.09.2017 15:09:46 | Beavis | Административная панель - главная страница |  (userId = 3)
20.09.2017 15:09:40 | Beavis | Административная панель - главная страница |  (userId = 3)
20.09.2017 15:09:27 | Beavis | Административная панель - главная страница |  (userId = 3)
20.09.2017 15:08:23 | Beavis | Изменение задачиНазвание: Купить буррито, описание: Сходить в BurgerWorld, купить колы с бурритоДата добавления  19.09.2017 22:01:15 | Новые данные: Название: Купить кока колу, описание: Сходить в BurgerWorld, купить колы с бурритоДата добавления  19.09.2017 22:01:15 (userId = 3)
20.09.2017 15:08:22 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 15:08:11 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 15:08:07 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 15:05:24 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 15:05:19 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 15:04:49 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 15:00:48 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 15:00:40 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 15:00:36 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 15:00:25 | Beavis | Административная панель - главная страница |  (userId = 3)
20.09.2017 14:57:01 | Beavis | Административная панель - главная страница |  (userId = 3)
20.09.2017 14:56:49 | Beavis | Административная панель - главная страница |  (userId = 3)
20.09.2017 14:56:42 | Beavis | Административная панель - главная страница |  (userId = 3)
20.09.2017 14:53:03 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 14:52:53 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 14:52:45 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 14:49:53 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 14:49:42 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 14:49:35 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 14:49:27 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 14:49:27 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 14:49:25 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 14:49:24 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 14:48:31 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 14:48:22 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 14:48:16 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 14:37:44 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 14:37:35 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 14:36:53 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 14:35:24 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 14:35:21 | Beavis | Административная панель - главная страница |  (userId = 3)
20.09.2017 14:35:18 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 14:34:18 | Beavis | Административная панель - главная страница |  (userId = 3)
20.09.2017 14:34:13 | Beavis | Административная панель - главная страница |  (userId = 3)
20.09.2017 14:34:07 | Beavis | Административная панель - главная страница |  (userId = 3)
20.09.2017 14:34:05 | Beavis | Успешная авторизация пользователя |  (userId = 3)
20.09.2017 14:33:52 | Alen | Административная панель - главная страница |  (userId = 1)
20.09.2017 14:33:47 | Alen | Административная панель - главная страница |  (userId = 1)
20.09.2017 14:33:45 | Alen | Успешная авторизация пользователя |  (userId = 1)
20.09.2017 13:49:56 | Beavis | Удалениезадачи | Название: Пикабууууу (userId = 3)
20.09.2017 13:49:55 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 13:49:50 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 13:49:47 | Beavis | Добавление новой задачи |  (userId = 3)
20.09.2017 13:49:47 | Beavis | Добавление новой задачи | Название: Пикабууууу,описание: aaaaaaпвапавпвап (userId = 3)
20.09.2017 13:49:39 | Beavis | Добавление новой задачи |  (userId = 3)
20.09.2017 13:49:34 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 13:41:38 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 13:41:38 | Beavis | Снятие отметки о выполнении задачи | Название: Купить буррито,описание: Сходить в BurgerWorld, купить колы с буррито (userId = 3)
20.09.2017 13:41:07 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 13:41:03 | Beavis | Административная панель - главная страница |  (userId = 3)
20.09.2017 13:41:01 | Beavis | Успешная авторизация пользователя |  (userId = 3)
20.09.2017 13:40:44 | Alen | Просмотр списка задач |  (userId = 1)
20.09.2017 13:40:07 | Alen | Просмотр списка задач |  (userId = 1)
20.09.2017 13:40:03 | Alen | Просмотр списка задач |  (userId = 1)
20.09.2017 13:39:57 | Alen | Добавление новой задачи | Название: ggdf,описание: g456456 (userId = 1)
20.09.2017 13:39:56 | Alen | Добавление новой задачи |  (userId = 1)
20.09.2017 13:39:52 | Alen | Добавление новой задачи |  (userId = 1)
20.09.2017 13:39:49 | Alen | Просмотр списка задач |  (userId = 1)
20.09.2017 13:39:43 | Alen | Добавление новой задачи |  (userId = 1)
20.09.2017 13:39:32 | Alen | Добавление новой задачи |  (userId = 1)
20.09.2017 13:39:15 | Alen | Добавление новой задачи |  (userId = 1)
20.09.2017 13:37:06 | Alen | Просмотр списка задач |  (userId = 1)
20.09.2017 13:36:51 | Alen | Просмотр списка задач |  (userId = 1)
20.09.2017 13:32:31 | Alen | Просмотр списка задач |  (userId = 1)
20.09.2017 13:32:23 | Alen | Просмотр списка задач |  (userId = 1)
20.09.2017 13:32:21 | Alen | Добавление новой задачи | Название: 0890897897978h,k,описание: ttttrrrrrrrghgbgfgf5345345 (userId = 1)
20.09.2017 13:32:19 | Alen | Добавление новой задачи |  (userId = 1)
20.09.2017 13:32:07 | Alen | Добавление новой задачи | Название: fhdfh,описание: hhhhhhhgfhgfh (userId = 1)
20.09.2017 13:32:05 | Alen | Добавление новой задачи |  (userId = 1)
20.09.2017 13:32:01 | Alen | Добавление новой задачи |  (userId = 1)
20.09.2017 13:31:52 | Alen | Просмотр списка задач |  (userId = 1)
20.09.2017 13:30:11 | Alen | Просмотр списка задач |  (userId = 1)
20.09.2017 13:30:03 | Alen | Просмотр списка задач |  (userId = 1)
20.09.2017 13:29:35 | Alen | Просмотр списка задач |  (userId = 1)
20.09.2017 13:24:59 | Alen | Просмотр списка задач |  (userId = 1)
20.09.2017 13:24:55 | Alen | Просмотр списка задач |  (userId = 1)
20.09.2017 13:24:52 | Alen | Добавление новой задачи | Название: hhhhhhhhhhhhhh,описание: gh5666456456 (userId = 1)
20.09.2017 13:24:51 | Alen | Добавление новой задачи |  (userId = 1)
20.09.2017 13:24:43 | Alen | Добавление новой задачи |  (userId = 1)
20.09.2017 13:24:32 | Alen | Просмотр списка задач |  (userId = 1)
20.09.2017 13:19:40 | Alen | Просмотр списка задач |  (userId = 1)
20.09.2017 13:19:37 | Alen | Просмотр списка задач |  (userId = 1)
20.09.2017 13:19:34 | Alen | Добавление новой задачи | Название: hgfdhdfhgfh,описание: ddfhdfhfh (userId = 1)
20.09.2017 13:19:33 | Alen | Добавление новой задачи |  (userId = 1)
20.09.2017 13:19:27 | Alen | Добавление новой задачи |  (userId = 1)
20.09.2017 13:19:23 | Alen | Просмотр списка задач |  (userId = 1)
20.09.2017 13:19:19 | Alen | Административная панель - главная страница |  (userId = 1)
20.09.2017 13:19:17 | Alen | Успешная авторизация пользователя |  (userId = 1)
20.09.2017 13:17:11 | Beavis | Снятие отметки о выполнении задачи | Название: Купить клавиатуру для нетбука,описание: Заказать на алиэкспресс клавиатуру для нетбука (userId = 3)
20.09.2017 13:17:10 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 13:17:08 | Beavis | Отметка о выполнении задачи | Название: Купить клавиатуру для нетбука,описание: Заказать на алиэкспресс клавиатуру для нетбука (userId = 3)
20.09.2017 13:17:07 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 13:17:01 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 13:16:52 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 13:16:33 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 13:16:29 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 13:16:25 | Beavis | Добавление новой задачи | Название: gdfgfdg,описание: gfgdfgdfg (userId = 3)
20.09.2017 13:16:24 | Beavis | Добавление новой задачи |  (userId = 3)
20.09.2017 13:16:19 | Beavis | Добавление новой задачи |  (userId = 3)
20.09.2017 13:16:10 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 13:16:03 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 13:15:58 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 13:14:27 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 13:14:16 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 13:13:54 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 13:11:49 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 13:11:38 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 13:11:28 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 13:11:25 | Beavis | Административная панель - главная страница |  (userId = 3)
20.09.2017 13:11:24 | Beavis | Успешная авторизация пользователя |  (userId = 3)
20.09.2017 12:48:14 | Alen | Просмотр списка задач |  (userId = 1)
20.09.2017 12:48:10 | Alen | Просмотр списка задач |  (userId = 1)
20.09.2017 12:48:04 | Alen | Просмотр списка задач |  (userId = 1)
20.09.2017 12:47:58 | Alen | Просмотр списка задач |  (userId = 1)
20.09.2017 12:47:56 | Alen | Добавление новой задачи |  (userId = 1)
20.09.2017 12:47:56 | Alen | Добавление новой задачи | Название: Пикабууууу,описание: опваолдпваолдпа (userId = 1)
20.09.2017 12:47:48 | Alen | Добавление новой задачи |  (userId = 1)
20.09.2017 12:47:44 | Alen | Просмотр списка задач |  (userId = 1)
20.09.2017 12:47:41 | Alen | Административная панель - главная страница |  (userId = 1)
20.09.2017 12:47:40 | Alen | Успешная авторизация пользователя |  (userId = 1)
20.09.2017 0:27:46 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 0:27:42 | Beavis | Отметка о выполнении задачи | Название: Выпить кофе,описание: Выпить кофе, поужинать, почистить зубы (userId = 3)
20.09.2017 0:27:41 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 0:27:38 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 0:27:16 | Beavis | Административная панель - главная страница |  (userId = 3)
20.09.2017 0:27:14 | Beavis | Успешная авторизация пользователя |  (userId = 3)
20.09.2017 0:24:15 | Beavis | Административная панель - главная страница |  (userId = 3)
20.09.2017 0:24:13 | Beavis | Успешная авторизация пользователя |  (userId = 3)
20.09.2017 0:22:48 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 0:22:43 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 0:22:40 | Beavis | Успешная авторизация пользователя |  (userId = 3)
20.09.2017 0:22:40 | Beavis | Административная панель - главная страница |  (userId = 3)
20.09.2017 0:21:32 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 0:21:03 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 0:20:58 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 0:20:52 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 0:20:47 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 0:20:41 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 0:20:36 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 0:20:31 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 0:20:26 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 0:20:17 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 0:20:14 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 0:20:10 | Beavis | Административная панель - главная страница |  (userId = 3)
20.09.2017 0:20:09 | Beavis | Успешная авторизация пользователя |  (userId = 3)
20.09.2017 0:14:17 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 0:14:15 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 0:14:11 | Beavis | Административная панель - главная страница |  (userId = 3)
20.09.2017 0:14:10 | Beavis | Успешная авторизация пользователя |  (userId = 3)
20.09.2017 0:12:33 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 0:11:43 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 0:11:23 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 0:11:18 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 0:11:05 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 0:11:00 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 0:10:56 | Beavis | Административная панель - главная страница |  (userId = 3)
20.09.2017 0:10:54 | Beavis | Успешная авторизация пользователя |  (userId = 3)
20.09.2017 0:08:50 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 0:08:37 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 0:08:34 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 0:08:31 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 0:08:24 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 0:08:19 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 0:08:14 | Beavis | Просмотр списка задач |  (userId = 3)
20.09.2017 0:08:11 | Beavis | Успешная авторизация пользователя |  (userId = 3)
20.09.2017 0:08:11 | Beavis | Административная панель - главная страница |  (userId = 3)
20.09.2017 0:08:00 | Alen | Административная панель - главная страница |  (userId = 1)
20.09.2017 0:07:37 | Alen | Административная панель - главная страница |  (userId = 1)
20.09.2017 0:07:36 | Alen | Успешная авторизация пользователя |  (userId = 1)
